IMMIMBUS,IMMBNTDB,XSMMAIBS
IMMIMBUS,IMMDSMDB,XSMMAIBS
IMMIMBUS,NDBPVBDB,XSMMAIBS
IMMIMBUS,IMMAUDDB,XSMMAIBS
IMMIMBUS,ICLLLIDB,XSMMAIBS
IMMIMBUS,IMMSBNDB,XSMMAIBS
IMMIMBUS,NDBPVNDB,XSMMAIBS
IMMINRMS,IMMMBRDB,XSMMAIBS
IMMINRMS,IMMMBRD5,XSMMAIBS
IMMINRMS,IMMMBRD6,XSMMAIBS
IMMINRMS,IMMZIPDB,XSMMAIBS
IMMINRMS,IMMSBNDB,XSMMAIBS
IMMINRMS,IMMXRFDB,XSMMAIBS
IMMINRMS,IMMXRFS1,XSMMAIBS
IMMINRMS,DNDENTDB,XSMMAIBS
IMMINRMS,HDBZRDDB,XSMMAIBS
IMMINRMS,HDBPMGDB,XSMMAIBS
IMMINRMS,HDBIPADB,XSMMAIBS
IMMENRNS,IMMGPSDB,XSMMAIBS
IMMENRNS,IMMMBRDB,XSMMAIBS
IMMENRNS,IMMZIPDB,XSMMAIBS
IMMENRNS,IMMLSTDB,XSMMAIBS
IMMENRNS,IMMMBRD2,XSMMAIBS
IMMENRNS,NDBPVNDB,XSMMAIBS
IMMENRNS,NDBPVNS1,XSMMAIBS
IMMENRNS,NDBPVBDB,XSMMAIBS
IMMENRNS,IMMWK1DB,XSMMAIBS
IMMHCIDS,IMM.KEYS
IMMHCIDS,IMM.DELTA
IMM0300,IMM.DELTA
IMM102S,EMPLOYER_GROUP
IMM102S,GROUP_CERT
IMM102S,ADDRESS
IMM102S,NOTES
IMM102S,PROD_HIST
IMM102S,CANCEL
IMM102S,LB_SUPPL
IMM102S,LIFE_HISTORY
IMM102S,SUMMARY_BILL
IMM8100N,IMB.DIS_RATES
IMM8100N,IMB.COMPOSITE_RATES
IMM0077,IMB.BILLING_LIFE_VOL
IMMMBRC2,IMMAUDDB,XSMMAIBS
IMMMBRC2,IMMBTRDB,XSMMAIBS
IMMMBRC2,IMMFINDB,XSMMAIBS
IMMMBRC2,IMMGPSDB,XSMMAIBS
IMMMBRC2,IMMMBRDB,XSMMAIBS
IMMMBRC2,IMMSBNDB,XSMMAIBS
IMMMBRC2,IMMDSMDB,XSMMAIBS
IMMMBRC2,IMMXRFDB,XSMMAIBS
IMMMBRC2,IMMXRFS1,XSMMAIBS
IMMMBRC2,IMMZIPDB,XSMMAIBS
IMMMBRC2,IMMLSTDB,XSMMAIBS
IMMMBRC2,IMMBNTDB,XSMMAIBS
IMMMBRC2,IMMTBLDB,XSMMAIBS
IMMMBRC2,IMMMBRD2,XSMMAIBS
IMMMBRC2,IMMADJDB,XSMMAIBS
IMMMBRC2,ICLLLIDB,XSMMAIBS
IMMMBRCS,IMMAUDDB,XSMMAIBS
IMMMBRCS,IMMBTRDB,XSMMAIBS
IMMMBRCS,IMMFINDB,XSMMAIBS
IMMMBRCS,IMMGPSDB,XSMMAIBS
IMMMBRCS,IMMMBRDB,XSMMAIBS
IMMMBRCS,IMMSBNDB,XSMMAIBS
IMMMBRCS,IMMDSMDB,XSMMAIBS
IMMMBRCS,IMMXRFDB,XSMMAIBS
IMMMBRCS,IMMXRFS1,XSMMAIBS
IMMMBRCS,IMMZIPDB,XSMMAIBS
IMMMBRCS,IMMLSTDB,XSMMAIBS
IMMMBRCS,IMMBNTDB,XSMMAIBS
IMMMBRCS,IMMTBLDB,XSMMAIBS
IMMMBRCS,IMMMBRD2,XSMMAIBS
IMMMBRCS,IMMADJDB,XSMMAIBS
IMMMBRCS,ICLLLIDB,XSMMAIBS
IMMMBRCS,IMMFIND2,XSMMAIBS
IMMMBRCS,IMMLSTD2,XSMMAIBS
IMM0315,IMM.DELTA
IMM0315,IMM.KEYS
IMM0315,SYSIBM.SYSDUMMY1
IMMEGPUV,IMB.GRP_FACTOR
IMMENRL,IMB.GRP_FACTOR
IMMCCRD,IMB.MEMBER_MODIFIER
IMMCCRD,IMB.CONT_ACTV
IMMCCRD,IMB.FIXED_RATE
IMMCCRD,IMB.FIXED_QUOTE
IMMCCRD,IMB.FIXED_RATE_MODIFIER
IMMERRHS,SYSIBM.SYSDUMMY1
IMMERRHS,IMB.ERROR_MSG
IMMHVOLS,IMB.CONT_ACTV
IMMHVOLS,IMB.LIFE_FACTOR
IMMPCNUS,IMB.BILLING_RATE
IMM103S,CDAPPLD
IMM103S,CASH
IMMINRUS,IMMMBRDB,XSMMAIBS
IMMINRUS,IMMGPSDB,XSMMAIBS
IMMINRUS,IMMSBNDB,XSMMAIBS
IMMINRUS,IMMFINDB,XSMMAIBS
IMMINRUS,IMMLSTDB,XSMMAIBS
IMMINRUS,IMMBTRDB,XSMMAIBS
IMMINRUS,IMMXRFDB,XSMMAIBS
IMMINRUS,IMMDSMDB,XSMMAIBS
IMMINRUS,IMMZIPDB,XSMMAIBS
IMMINRUS,IMMAUDDB,XSMMAIBS
IMMINRUS,ICLLLIDB,XSMMAIBS
IMMINRUS,IMMMMGLD,XSMMAIBS
IMMINRUS,IMMTBLDB,XSMMAIBS
IMMINRUS,IMMMBRD2,XSMMAIBS
IMMINRUS,NDBPVNDB,XSMMAIBS
IMMINRUS,NDBPVNS1,XSMMAIBS
IMMINRUS,NDBPVBDB,XSMMAIBS
IMMINRUS,IMMMBRD3,XSMMAIBS
IMMIMBMS,IMMMBRDB,XSMMAIBS
IMMIMBMS,IMMMBRD5,XSMMAIBS
