Program,Exception Type,Code
IMMCNTXS.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME  USING  IMBXEIOS-IO-AREA                      
IMMCNTXS.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMCNTXS.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMCNTXS.COB,Missing variable referrence,           CALL WS-IMM2CYMD         USING MM-CURR-CONT-BEG-DT                   
IMMCNTXS.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMCNTXS.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMCNTXS.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME USING IMBXEIOS-IO-AREA                        
IMMCNTXS.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME USING IMBXEIOS-IO-AREA                        
IMMCNTXS.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME        USING IMBXCIOS-IO-AREA                 
IMMCNTXS.COB,Missing variable referrence,           CALL IMBRCIOS-PGM-NAME   USING IMBRCIOS-IO-AREA                      
IMMCNTXS.COB,Missing variable referrence,           CALL UBRCERT-PROGRAM-NAME   USING UBRCERT-PARAM-LIST                 
IMM0038.COB,Missing variable referrence,           CALL WS-IMMDB2DT    USING      WS-DATE-CYMD                          
IMM0038.COB,Missing variable referrence,           CALL IMMMNIOS-PGM-NAME   USING IMMMNIOS-IO-AREA                      
IMM0038.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMM0038.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMM0038.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMM0038.COB,Missing variable referrence,           CALL UBRCERT-PROGRAM-NAME  USING UBRCERT-PARAM-LIST                  
IMM0038.COB,Missing variable referrence,MA3403     CALL IMBACOS-PGM-NAME  USING IMBACOS-IO-AREA                         
IMM0038.COB,Missing variable referrence,MA3403     CALL IMBACOS-PGM-NAME  USING IMBACOS-IO-AREA                         
IMM0038.COB,Missing variable referrence,           CALL IMBRCIOS-PGM-NAME        USING IMBRCIOS-IO-AREA                 
IMMMNDU.COB,Missing variable referrence,           CALL IMMMNIOS-PGM-NAME   USING IMMMNIOS-IO-AREA                      
IMMMBRC,Missing copybook,MG9832     COPY WAFGEAID   REPLACING ==(RQ)== BY ==RQ==.                        
IMMMBRC,Missing copybook,MG9832     COPY WAFGEAOD   REPLACING ==(RP)== BY ==RP==.                        
IMMMBRC.COB,Missing variable referrence,           CALL IMMMNIOS-PGM-NAME   USING IMMMNIOS-IO-AREA                      
IMMMBRC.COB,Missing variable referrence,           CALL IMMMNIOS-PGM-NAME    USING IMMMNIOS-IO-AREA                     
IMMMBRC.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME       USING IMBXCIOS-IO-AREA                  
IMMMBRC.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME       USING IMBXEIOS-IO-AREA                  
IMMMBRC.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMMBRC.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMMBRC.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMMBRC.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMMBRC.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME        USING IMBXCIOS-IO-AREA                 
IMMMBRC.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME        USING IMBXCIOS-IO-AREA                 
IMMMBRC.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME        USING IMBXCIOS-IO-AREA                 
IMMMBRC.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMMBRC.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMMBRC.COB,Missing variable referrence,RP6047     CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMMBRC.COB,Missing variable referrence,RP6047     CALL IMBXCIOS-PGM-NAME   USING IMBXCIOS-IO-AREA                      
IMMMBRC.COB,Missing variable referrence,           CALL IMBGRFIO-PGM-NAME   USING IMBGRFIO-IO-AREA                      
IMMMBRC.COB,Missing variable referrence,           CALL IMBGRFIO-PGM-NAME   USING IMBGRFIO-IO-AREA                      
IMMGRPA.COB,Missing variable referrence,              CALL AGLOBVCD-PROGRAM-NAME  USING AGLOBVCD-CALL-AREA              
IMMGRPA.COB,Missing variable referrence,                    CALL AGLOBVCD-PROGRAM-NAME USING AGLOBVCD-CALL-AREA         
IMMGRPA.COB,Missing variable referrence,                             CALL AGLOBVCD-PROGRAM-NAME                         
IMM2202.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME      USING IMBXCIOS-IO-AREA                   
IMMEPGX,Missing copybook,GR3776     COPY EPSAPICD.                                                       
IMMEPGX,Missing copybook,GR3776     COPY EPSAPICC.                                                       
IMMEPGX,Missing copybook,GR3776     COPY EPSPACOD.                                                       
IMMEPGX,Missing copybook,GR3776     COPY EPSPACOC.                                                       
IMMEPGX,Missing copybook,GR3776     COPY EPSAPICP.                                                       
IMMEPGX,Missing copybook,GR3776     COPY EPSPACOP.                                                       
IMMEPGX.COB,Missing variable referrence,CT4231     CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMEPGX.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME   USING IMBXCIOS-IO-AREA                      
IMMCGIOS.COB,Missing variable referrence,                       CALL WS-IMMDB2DT USING WS-DATE-YYYYMMDD                  
IMMBNTA.COB,Missing variable referrence,           CALL  IMMBNTVS-PGM-NAME USING IMMBNTDB-PCB                           
IMMBNTA.COB,Missing variable referrence,           CALL  IMMBNTUS-PGM-NAME USING IMMBNTDB-PCB                           
IMM0555A.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME USING IMBXCIOS-IO-AREA                        
IMM0555A.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME USING IMBXEIOS-IO-AREA                        
